[03/06/2016 16:39:08] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_server_restart], Params: [ 1] 
[03/06/2016 16:40:44] --> GM: PinaYo [268478182], Target: [Young Keltir], Action: [admin_gmspeed 4], Params: [] 
[03/06/2016 17:01:32] --> GM: PinaYo [268478182], Target: [PinaYo], Action: [admin_server_restart], Params: [] 
[03/06/2016 17:01:36] --> GM: PinaYo [268478182], Target: [PinaYo], Action: [admin_server_restart], Params: [ 1] 
[03/06/2016 19:19:24] --> GM: PinaYo [268478182], Target: [Young Keltir], Action: [admin_admin], Params: [] 
[03/06/2016 19:19:25] --> GM: PinaYo [268478182], Target: [Young Keltir], Action: [admin_move_to], Params: [] 
[03/06/2016 19:19:26] --> GM: PinaYo [268478182], Target: [Young Keltir], Action: [admin_help], Params: [ tele/towns.htm] 
[03/06/2016 19:20:34] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[03/06/2016 19:20:50] --> GM: PinaYo [268478182], Target: [Bearded Keltir], Action: [admin_admin], Params: [] 
[03/06/2016 19:20:51] --> GM: PinaYo [268478182], Target: [Bearded Keltir], Action: [admin_kill_menu], Params: [] 
[03/06/2016 19:20:54] --> GM: PinaYo [268478182], Target: [Bearded Keltir], Action: [admin_kill_menu], Params: [] 
[03/06/2016 19:20:54] --> GM: PinaYo [268478182], Target: [Bearded Keltir], Action: [admin_kill_menu], Params: [] 
[03/06/2016 19:21:04] --> GM: PinaYo [268478182], Target: [Bearded Keltir], Action: [admin_admin], Params: [] 
[03/06/2016 19:21:05] --> GM: PinaYo [268478182], Target: [Bearded Keltir], Action: [admin_kill_menu], Params: [] 
[03/06/2016 19:21:06] --> GM: PinaYo [268478182], Target: [Bearded Keltir], Action: [admin_kill_menu], Params: [] 
[03/06/2016 19:21:06] --> GM: PinaYo [268478182], Target: [Bearded Keltir], Action: [admin_kill_menu], Params: [] 
[03/06/2016 19:21:52] --> GM: PinaYo [268478182], Target: [Bearded Keltir], Action: [admin_kill], Params: [] 
[03/06/2016 19:22:01] --> GM: PinaYo [268478182], Target: [Bearded Keltir], Action: [admin_show_skilllist_npc], Params: [ 20481] 
[03/06/2016 19:22:02] --> GM: PinaYo [268478182], Target: [Bearded Keltir], Action: [admin_add_skill_npc], Params: [ 20481] 
[03/06/2016 19:23:16] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[03/06/2016 19:24:27] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[03/06/2016 19:25:50] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[03/06/2016 19:26:47] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[03/06/2016 19:27:32] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[03/06/2016 19:30:17] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[03/06/2016 19:33:05] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[03/06/2016 19:34:59] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[03/06/2016 19:42:29] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[03/06/2016 19:43:37] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[03/06/2016 19:51:50] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[03/06/2016 19:52:43] --> GM: PinaYo [268478182], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
