[12/04/2020 2:30:08] --> GM: Ducha [268478400], Target: [NAARA], Action: [admin_move_to], Params: [ 116507 145095 -2563] 
[12/04/2020 2:37:13] --> GM: Ducha [268478400], Target: [Giran Holy Artifact], Action: [admin_admin], Params: [] 
[12/04/2020 2:37:17] --> GM: Ducha [268478400], Target: [Giran Holy Artifact], Action: [admin_move_to], Params: [] 
[12/04/2020 2:37:18] --> GM: Ducha [268478400], Target: [Giran Holy Artifact], Action: [admin_help], Params: [ tele/castles.htm] 
[12/04/2020 2:37:20] --> GM: Ducha [268478400], Target: [Giran Holy Artifact], Action: [admin_help], Params: [ tele/castles/giran.htm] 
[12/04/2020 2:37:22] --> GM: Ducha [268478400], Target: [Giran Holy Artifact], Action: [admin_move_to], Params: [ 112122 144855 -2751] 
[12/04/2020 2:39:25] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_admin], Params: [] 
[12/04/2020 2:39:27] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_move_to], Params: [] 
[12/04/2020 2:39:27] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_help], Params: [ tele/castles.htm] 
[12/04/2020 2:39:29] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_help], Params: [ tele/castles/giran.htm] 
[12/04/2020 2:39:31] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_move_to], Params: [ 117557 145092 -2644] 
[12/04/2020 2:41:18] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_siege], Params: [] 
[12/04/2020 2:44:41] --> GM: Ducha [268478400], Target: [NAARA], Action: [admin_skill_list], Params: [] 
[12/04/2020 2:44:44] --> GM: Ducha [268478400], Target: [NAARA], Action: [admin_help], Params: [ skills/Special/GM_Skills.htm] 
[12/04/2020 2:44:56] --> GM: Ducha [268478400], Target: [NAARA], Action: [admin_show_skills], Params: [] 
[12/04/2020 2:45:00] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_skill_list], Params: [] 
[12/04/2020 2:45:04] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_help], Params: [ skills/Human/human.htm] 
[12/04/2020 2:45:07] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_help], Params: [ skills/Human/H_Adventurer.htm] 
[12/04/2020 2:45:11] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_add_skill], Params: [ 344 1] 
[12/04/2020 2:45:18] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_skill_list], Params: [] 
[12/04/2020 2:45:23] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_help], Params: [ skills/Human/human.htm] 
[12/04/2020 2:45:26] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_help], Params: [ skills.htm] 
[12/04/2020 2:45:28] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_help], Params: [ skills/Human/human.htm] 
[12/04/2020 2:45:35] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_help], Params: [ skills/Human/H_Phoenix_Knight.htm] 
[12/04/2020 2:45:40] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_show_skills], Params: [] 
[12/04/2020 2:45:42] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_skill_list], Params: [] 
[12/04/2020 2:45:45] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_help], Params: [ skills/Human/human.htm] 
[12/04/2020 2:45:46] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_help], Params: [ skills/Human/H_Paladin.htm] 
[12/04/2020 2:45:52] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_skill_index], Params: [ Human/H_Paladin4] 
[12/04/2020 2:45:55] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_skill_index], Params: [ Human/H_Paladin3] 
[12/04/2020 2:45:58] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_skill_index], Params: [ Human/H_Paladin2] 
[12/04/2020 2:46:04] --> GM: Ducha [268478400], Target: [SEBALANGA], Action: [admin_skill_index], Params: [ Human/H_Paladin3] 
